feature,importance
grid_position,0.28589940512372836
grid_position_squared,0.2586621463537466
driver_wins_10,0.03738445156712333
driver_podium_rate,0.03532907554803707
driver_win_rate,0.033909718382950836
driver_best_position_5,0.03092317022957736
constructor_podiums,0.027351656990922762
driver_podiums_10,0.025618947370201428
constructor_avg_position,0.019887960663496823
circuit_avg_position,0.01966964811438982
driver_top5_10,0.019316184777711406
driver_avg_position_5,0.01886475292379509
driver_points_avg_10,0.01850566282756969
driver_avg_position_10,0.01813574713667166
recent_trend,0.017851835637192143
circuit_best_position,0.01728560604838994
constructor_points_avg,0.016485265125535598
consistency_score,0.015438708204115057
driver_position_std_5,0.014846826222251214
season_progress,0.013939964761192318
round_number,0.013667772871154527
constructor_wins,0.010667814028677758
circuit_races,0.009556723494780359
driver_worst_position_5,0.00925999910347703
driver_dnf_rate,0.005982777764573055
circuit_wins,0.0035179271864177446
improving,0.0020402515423209354
